0,instantaneous_scfh,instantaneous_kgh,moving_kgh,moving_scfh
,-15.4,-0.284091537,,
,-15.4,-0.284091537,,
2021-11-03 16:25:04+00:00,-15.4,-0.284091537,,
2021-11-03 16:25:05+00:00,-15.8,-0.291470538,,
2021-11-03 16:25:06+00:00,-16.8,-0.30991804,,
2021-11-03 16:25:07+00:00,-16.6,-0.30622854,,
2021-11-03 16:25:08+00:00,-16.2,-0.298849539,,
2021-11-03 16:25:09+00:00,-16.7,-0.30807329,,
2021-11-03 16:25:10+00:00,-16.9,-0.31176279,,
2021-11-03 16:25:11+00:00,-16.2,-0.298849539,,
2021-11-03 16:25:12+00:00,-15,-0.276712536,,
2021-11-03 16:25:13+00:00,-15.1,-0.278557286,,
2021-11-03 16:25:14+00:00,-15.4,-0.284091537,,
2021-11-03 16:25:15+00:00,-15.2,-0.280402036,,
2021-11-03 16:25:16+00:00,-16.9,-0.31176279,,
2021-11-03 16:25:17+00:00,-15.7,-0.289625787,,
2021-11-03 16:25:18+00:00,-15.6,-0.287781037,-0.293315288,-15.9
2021-11-03 16:25:19+00:00,-15.9,-0.293315288,-0.293857861,-15.92941176
2021-11-03 16:25:20+00:00,-15.3,-0.282246786,-0.293749347,-15.92352941
2021-11-03 16:25:21+00:00,-16,-0.295160038,-0.294400435,-15.95882353
2021-11-03 16:25:22+00:00,-15.2,-0.280402036,-0.293749347,-15.92352941
2021-11-03 16:25:23+00:00,-15.4,-0.284091537,-0.292230141,-15.84117647
2021-11-03 16:25:24+00:00,-15.5,-0.285936287,-0.291036479,-15.77647059
2021-11-03 16:25:25+00:00,-16.3,-0.300694289,-0.291144993,-15.78235294
2021-11-03 16:25:26+00:00,-16.7,-0.30807329,-0.291144993,-15.78235294
2021-11-03 16:25:27+00:00,-16.7,-0.30807329,-0.290927964,-15.77058824
2021-11-03 16:25:28+00:00,-16.1,-0.297004788,-0.290819449,-15.76470588
2021-11-03 16:25:29+00:00,-15.8,-0.291470538,-0.291687567,-15.81176471
2021-11-03 16:25:30+00:00,-15.8,-0.291470538,-0.29244717,-15.85294118
2021-11-03 16:25:31+00:00,-15.8,-0.291470538,-0.292881229,-15.87647059
2021-11-03 16:25:32+00:00,-16.3,-0.300694289,-0.294074891,-15.94117647
2021-11-03 16:25:33+00:00,-16.4,-0.302539039,-0.293532317,-15.91176471
2021-11-03 16:25:34+00:00,-16,-0.295160038,-0.293857861,-15.92941176
2021-11-03 16:25:35+00:00,-16.4,-0.302539039,-0.294725979,-15.97647059
2021-11-03 16:25:36+00:00,-16.4,-0.302539039,-0.295268553,-16.00588235
2021-11-03 16:25:37+00:00,-16.2,-0.298849539,-0.296245185,-16.05882353
2021-11-03 16:25:38+00:00,-16,-0.295160038,-0.296245185,-16.05882353
2021-11-03 16:25:39+00:00,-15.7,-0.289625787,-0.296787759,-16.08823529
2021-11-03 16:25:40+00:00,-15.8,-0.291470538,-0.297221818,-16.11176471
2021-11-03 16:25:41+00:00,-16.4,-0.302539039,-0.29819845,-16.16470588
2021-11-03 16:25:42+00:00,-15.9,-0.293315288,-0.297764391,-16.14117647
2021-11-03 16:25:43+00:00,-16.2,-0.298849539,-0.297221818,-16.11176471
2021-11-03 16:25:44+00:00,-16.6,-0.30622854,-0.297113303,-16.10588235
2021-11-03 16:25:45+00:00,-16.3,-0.300694289,-0.297330332,-16.11764706
2021-11-03 16:25:46+00:00,-15.6,-0.287781037,-0.297113303,-16.10588235
2021-11-03 16:25:47+00:00,-16.4,-0.302539039,-0.297764391,-16.14117647
2021-11-03 16:25:48+00:00,-15.9,-0.293315288,-0.297872906,-16.14705882
2021-11-03 16:25:49+00:00,-15.9,-0.293315288,-0.297438847,-16.12352941
2021-11-03 16:25:50+00:00,-15.3,-0.282246786,-0.296245185,-16.05882353
2021-11-03 16:25:51+00:00,-15.4,-0.284091537,-0.295594097,-16.02352941
2021-11-03 16:25:52+00:00,-15.5,-0.285936287,-0.294617464,-15.97058824
2021-11-03 16:25:53+00:00,-15.3,-0.282246786,-0.293423803,-15.90588235
2021-11-03 16:25:54+00:00,-15.4,-0.284091537,-0.292555685,-15.85882353
2021-11-03 16:25:55+00:00,-15.2,-0.280402036,-0.291687567,-15.81176471
2021-11-03 16:25:56+00:00,-15.2,-0.280402036,-0.291144993,-15.78235294
2021-11-03 16:25:57+00:00,-15.2,-0.280402036,-0.290493905,-15.74705882
2021-11-03 16:25:58+00:00,-15.1,-0.278557286,-0.289083214,-15.67058824
2021-11-03 16:25:59+00:00,-15.3,-0.282246786,-0.288432125,-15.63529412
2021-11-03 16:26:00+00:00,-14.5,-0.267488785,-0.286587375,-15.53529412
2021-11-03 16:26:01+00:00,-14.9,-0.274867785,-0.284742625,-15.43529412
2021-11-03 16:26:02+00:00,-15,-0.276712536,-0.283331934,-15.35882353
2021-11-03 16:26:03+00:00,-15.2,-0.280402036,-0.282897875,-15.33529412
2021-11-03 16:26:04+00:00,-15.3,-0.282246786,-0.281704213,-15.27058824
2021-11-03 16:26:05+00:00,-15.4,-0.284091537,-0.281161639,-15.24117647
2021-11-03 16:26:06+00:00,-15.1,-0.278557286,-0.280293521,-15.19411765
2021-11-03 16:26:07+00:00,-15.3,-0.282246786,-0.280293521,-15.19411765
2021-11-03 16:26:08+00:00,-15.3,-0.282246786,-0.280185007,-15.18823529
2021-11-03 16:26:09+00:00,-15.4,-0.284091537,-0.280076492,-15.18235294
2021-11-03 16:26:10+00:00,-14.9,-0.274867785,-0.279642433,-15.15882353
2021-11-03 16:26:11+00:00,-15.1,-0.278557286,-0.279316889,-15.14117647
2021-11-03 16:26:12+00:00,-15.1,-0.278557286,-0.279208374,-15.13529412
2021-11-03 16:26:13+00:00,-14.9,-0.274867785,-0.27888283,-15.11764706
2021-11-03 16:26:14+00:00,-15.1,-0.278557286,-0.278774315,-15.11176471
2021-11-03 16:26:15+00:00,-15,-0.276712536,-0.278665801,-15.10588235
2021-11-03 16:26:16+00:00,-15.2,-0.280402036,-0.278557286,-15.1
