0,instantaneous_scfh,instantaneous_kgh,moving_kgh,moving_scfh
,-224.5,-4.164678382,,
2021-11-04 16:39:41+00:00,-224.5,-4.164678382,,
2021-11-04 16:39:42+00:00,-225.3,-4.179519106,,
2021-11-04 16:39:43+00:00,-223.9,-4.153547838,,
2021-11-04 16:39:44+00:00,-223.5,-4.146127476,,
2021-11-04 16:39:45+00:00,-223.2,-4.140562204,,
2021-11-04 16:39:46+00:00,-224.1,-4.157258019,,
2021-11-04 16:39:47+00:00,-224.4,-4.162823291,,
2021-11-04 16:39:48+00:00,-224.9,-4.172098744,,
2021-11-04 16:39:49+00:00,-226,-4.192504741,,
2021-11-04 16:39:50+00:00,-223.4,-4.144272385,,
2021-11-04 16:39:51+00:00,-223,-4.136852023,,
2021-11-04 16:39:52+00:00,-223,-4.136852023,,
2021-11-04 16:39:53+00:00,-223.4,-4.144272385,,
2021-11-04 16:39:54+00:00,-224.6,-4.166533472,,
2021-11-04 16:39:55+00:00,-223.4,-4.144272385,,
2021-11-04 16:39:56+00:00,-220.6,-4.092329849,,
2021-11-04 16:39:57+00:00,-224.4,-4.162823291,,
2021-11-04 16:39:58+00:00,-224.3,-4.160968201,-4.153840747,-223.9157895
2021-11-04 16:39:59+00:00,-223.7,-4.149837657,-4.153059656,-223.8736842
2021-11-04 16:40:00+00:00,-223.4,-4.144272385,-4.151985657,-223.8157895
2021-11-04 16:40:01+00:00,-222.6,-4.12943166,-4.149349475,-223.6736842
2021-11-04 16:40:02+00:00,-222.3,-4.123866389,-4.147787294,-223.5894737
2021-11-04 16:40:03+00:00,-224,-4.155402929,-4.148275475,-223.6157895
2021-11-04 16:40:04+00:00,-223.5,-4.146127476,-4.148568384,-223.6315789
2021-11-04 16:40:05+00:00,-224,-4.155402929,-4.148470748,-223.6263158
2021-11-04 16:40:06+00:00,-223.5,-4.146127476,-4.147592021,-223.5789474
2021-11-04 16:40:07+00:00,-221.7,-4.112735845,-4.144467658,-223.4105263
2021-11-04 16:40:08+00:00,-221.4,-4.107170573,-4.139976386,-223.1684211
2021-11-04 16:40:09+00:00,-222.2,-4.122011298,-4.13880475,-223.1052632
2021-11-04 16:40:10+00:00,-222.6,-4.12943166,-4.138414204,-223.0842105
2021-11-04 16:40:11+00:00,-223.4,-4.144272385,-4.13880475,-223.1052632
2021-11-04 16:40:12+00:00,-223.2,-4.140562204,-4.138609477,-223.0947368
2021-11-04 16:40:13+00:00,-223.1,-4.138707113,-4.137144932,-223.0157895
2021-11-04 16:40:14+00:00,-223.2,-4.140562204,-4.136949659,-223.0052632
2021-11-04 16:40:15+00:00,-222.1,-4.120156207,-4.138414204,-223.0842105
2021-11-04 16:40:16+00:00,-221.9,-4.116446026,-4.135973296,-222.9526316
2021-11-04 16:40:17+00:00,-220.5,-4.090474758,-4.132263115,-222.7526316
2021-11-04 16:40:18+00:00,-221.3,-4.105315483,-4.129919842,-222.6263158
2021-11-04 16:40:19+00:00,-222.1,-4.120156207,-4.12865057,-222.5578947
2021-11-04 16:40:20+00:00,-221.6,-4.110880755,-4.127674206,-222.5052632
2021-11-04 16:40:21+00:00,-222.3,-4.123866389,-4.127674206,-222.5052632
2021-11-04 16:40:22+00:00,-223.1,-4.138707113,-4.126795479,-222.4578947
2021-11-04 16:40:23+00:00,-223.4,-4.144272385,-4.126697843,-222.4526316
2021-11-04 16:40:24+00:00,-226,-4.192504741,-4.12865057,-222.5578947
2021-11-04 16:40:25+00:00,-225.4,-4.181374197,-4.13050566,-222.6578947
2021-11-04 16:40:26+00:00,-225.1,-4.175808925,-4.133825296,-222.8368421
2021-11-04 16:40:27+00:00,-223.6,-4.147982566,-4.135973296,-222.9526316
2021-11-04 16:40:28+00:00,-223.3,-4.142417295,-4.137047296,-223.0105263
2021-11-04 16:40:29+00:00,-224.2,-4.15911311,-4.138609477,-223.0947368
2021-11-04 16:40:30+00:00,-223.3,-4.142417295,-4.138511841,-223.0894737
